Latitude,Longitude,Stop Name,Stop Status
40.700471,-73.910079,PALMETTO ST/ST NICHOLAS AV,at stop
40.688609,-73.929791,GATES AV/MALCOLM X BL,at stop
40.691091,-73.920497,GATES AV/BUSHWICK AV,at stop
40.685793,-73.95427,GATES AV/BEDFORD AV,approaching
40.686105,-73.951545,GATES AV/NOSTRAND AV,approaching
40.686232,-73.950442,GATES AV/NOSTRAND AV,approaching
40.69331,-73.989107,ADAMS ST/BKLYN SUPREME CRT,approaching
40.69717,-73.914527,GATES AV/KNICKERBOCKER AV,approaching
40.690388,-73.921182,GATES AV/BUSHWICK AV,approaching
40.690926,-73.986019,FULTON ST/JAY ST,approaching
40.687191,-73.961657,GREENE AV/CLASSON AV,< 1 stop away
40.693922,-73.990411,N/A,N/A
